j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
156,225,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,156000,3.1464358974358975,0.00484324384610435
157,231,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,157000,3.1462929936305732,0.004700340040780127
158,184,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,158000,3.146405063291139,0.004812409701345999
159,109,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,159000,3.1463396226415092,0.004746969051716121
160,133,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,160000,3.146225,0.004632346410206711
161,247,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,161000,3.1469068322981366,0.005314178708343498
162,114,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,162000,3.1466666666666665,0.005074013076873385
163,100,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,163000,3.1466993865030677,0.00510673291327457
164,117,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,164000,3.147048780487805,0.005456126898011782
165,113,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,165000,3.1471515151515153,0.005558861561722139
166,107,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,166000,3.1472048192771083,0.0056121656873151515
167,110,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,167000,3.147017964071856,0.005425310482062962
168,111,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,168000,3.1466904761904764,0.005097822600683255
169,189,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,169000,3.14712426035503,0.005531606765236674
170,214,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,170000,3.147129411764706,0.005536758174912837
171,44,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:08,88.0,90.0,0,171000,3.146760233918129,0.005167580328335752
172,215,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,172000,3.1464418604651163,0.004849206875323198
173,177,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,173000,3.1464508670520233,0.004858213462230143
174,175,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,174000,3.146137931034483,0.004545277444689688
175,149,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,175000,3.146102857142857,0.004510203553063974
176,217,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,176000,3.1458863636363636,0.004293710046570531
177,216,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,177000,3.145559322033898,0.0039666684441050926
178,202,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,178000,3.1456179775280897,0.004025323938296577
179,164,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,179000,3.145094972067039,0.0035023184772460247
180,212,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,180000,3.1449333333333334,0.0033406797435402424
181,165,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,181000,3.1446408839779005,0.00304823038810742
182,167,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,182000,3.144879120879121,0.003286467289327799
183,173,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,183000,3.1450054644808745,0.0034128108910813637
184,198,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,184000,3.1448260869565217,0.003233433366728544
185,211,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,185000,3.14492972972973,0.0033370761399367233
186,205,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,186000,3.144494623655914,0.002901970066120807
187,204,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,187000,3.144663101604278,0.00307044801448475
